search_string,start_time,end_time,sentence,video_id,video_url
senin için önemli olan tek şey hala burada biliyorum bu yüzden hala,84,88,senin için önemli olan tek şey hala burada biliyorum bu yüzden hala savaşıyorsun,9Wx3JJTq_Hw,https://www.youtube.com/watch?v=9Wx3JJTq_Hw&t=84s
bilmiyorum sen ne demek istiyorsun ben de onu demek istiyorum sana,721,726,bilmiyorum sen ne demek istiyorsun ben de onu demek istiyorum sana dedim,ZdeFof81xKs,https://www.youtube.com/watch?v=ZdeFof81xKs&t=721s
var da bu bir sorun olur mu benim için ben bunu daha sonra kendi,7920,7926,var da bu bir sorun olur mu benim için ben bunu daha sonra kendi üzerine almak istiyorum,zgQbOmPp9pk,https://www.youtube.com/watch?v=zgQbOmPp9pk&t=7920s
o çok güzel oldu gerçekten herkes gibi oldu gerçekten evet şimdi,394,401,o çok güzel oldu gerçekten herkes gibi oldu gerçekten evet şimdi arkadaşlar şunu bunu,f8iA6v4mRAY,https://www.youtube.com/watch?v=f8iA6v4mRAY&t=394s
gerçekten çok teşekkür ederim ya bu çok büyük ve güzel bir şey,2257,2262,gerçekten çok teşekkür ederim ya bu çok büyük ve güzel bir şey,a8Dov7B7alQ,https://www.youtube.com/watch?v=a8Dov7B7alQ&t=2257s
şeyler olabilir ne gibi senin gerçekten ben de bilmiyorum ama,378,383,şeyler olabilir ne gibi senin gerçekten ben de bilmiyorum ama mesela bu fikri alıp bir proje,YdTPitK_hV0,https://www.youtube.com/watch?v=YdTPitK_hV0&t=378s
ya neden yapıyorsun böyle bir şeyi ya neden bu kadar kötü bir,2580,2583,ya neden yapıyorsun böyle bir şeyi ya neden bu kadar kötü bir insansın sen baksana serkan mahvoldu,c_hVdvvh_gw,https://www.youtube.com/watch?v=c_hVdvvh_gw&t=2580s
kendi şimdi sen mi ne oluyor biliyor musun bu şimdi anne anne,446,451,artık hamill olması lazım altı kendi şimdi sen mi ne oluyor biliyor musun bu şimdi anne anne,Yuu5VhJBIUg,https://www.youtube.com/watch?v=Yuu5VhJBIUg&t=446s
yapıyorsun güzel olur değil tabii ki olur ya ne yapıyorsun ya,2488,2498,doğru ne yanlış yapıyorsun güzel olur değil tabii ki olur ya ne yapıyorsun ya,AvfpnsqaWw4,https://www.youtube.com/watch?v=AvfpnsqaWw4&t=2488s
evet ben tabii onları bilmiyorum onlar daha şey değil mi daha,1827,1831,evet ben tabii onları bilmiyorum onlar daha şey değil mi daha,GZG9nDbIgXM,https://www.youtube.com/watch?v=GZG9nDbIgXM&t=1827s
ben bu işte bu şekilde daha ne kadar devam ederim bilmiyorum,7458,7462,bekir ben bu işte bu şekilde daha ne kadar devam ederim bilmiyorum,QMUCHwM0CR4,https://www.youtube.com/watch?v=QMUCHwM0CR4&t=7458s
